Site,provide_metadata,provide_descriptive_metadata,provide_data_license_information,provide_data_provenance_information,provide_data_quality_information,provide_a_version_indicator,provide_version_history,gather_feedback_from_data_consumers,make_feedback_available,provide_bulk_download,provide_data_up_to_date,use_persistent_URIs_as_identifiers_of_datasets,use_machine_readable_standardized_data_formats,provide_data_in_multiple_formats,assess_dataset_coverage,provide_feedback_to_the_original_publisher,cite_the_original_publication
https://reitoria.ifpr.edu.br/acompanhe-o-lancamento-do-dossie-sobre-educacao-das-relacoes-etnico-raciais-da-revista-difusao/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/autoavaliacao-institucional-2022-2023-recebe-respostas-ate-o-dia-20-de-dezembro/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/bacharelado-em-administracao/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/bacharelado-em-ciencias-contabeis/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/bacharelado-em-direito/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/bacharelado-em-enfermagem/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/bacharelado-em-engenharia-agronomica/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/bacharelado-em-farmacia/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/bacharelado-em-sistemas-de-informacao/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/campus-avancado-barracao/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/campus-avancado-coronel-vivida/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/campus-avancado-goioere/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/campus-avancado-quedas-do-iguacu/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/campus-capanema/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/campus-colombo/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/campus-jaguariaiva/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/campus-pitanga,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/colegio-de-dirigentes-do-ifpr-define-calendario-de-reunioes-para-2023/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/confira-as-fotos-do-2o-encontro-do-nucleo-de-estudos-afro-brasileiros-e-indigenas-do-ifpr/,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/conheca-os-campi/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/contatos/,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
https://reitoria.ifpr.edu.br/cursos-tecnicos-integrados/,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
